,content,polygon,spans
14,2 370.84,"[3.0317, 2.758, 3.4981, 2.758, 3.4981, 2.8797, 3.0317, 2.8797]","[{'offset': 27857, 'length': 8}]"
15,2 085.59,"[3.7921, 2.758, 4.2484, 2.758, 4.2484, 2.8797, 3.7921, 2.8797]","[{'offset': 27866, 'length': 8}]"
16,1 654.56,"[4.6286000000000005, 2.758, 5.1102, 2.758, 5.1102, 2.8797, 4.6286000000000005, 2.8797]","[{'offset': 27875, 'length': 8}]"
17,If the service terminates or,"[0.6185, 2.9304, 2.0076, 2.9304, 2.0076, 3.0622, 0.6185, 3.0571]","[{'offset': 27884, 'length': 28}]"
18,commences outside ordinary,"[0.6134000000000001, 3.1028000000000002, 2.109, 3.1028000000000002, 2.109, 3.2396, 0.6134000000000001, 3.2396]","[{'offset': 27913, 'length': 26}]"
19,"working hours, minimum","[0.6134000000000001, 3.2751, 1.9113, 3.2701000000000002, 1.9113, 3.407, 0.6134000000000001, 3.412]","[{'offset': 27940, 'length': 22}]"
20,4 533.42,"[2.3675, 2.9355, 2.8238000000000003, 2.9355, 2.8238000000000003, 3.0521, 2.3675, 3.0521]","[{'offset': 27963, 'length': 8}]"
21,3 309.05,"[3.0317, 2.9304, 3.493, 2.9304, 3.493, 3.0521, 3.0317, 3.0521]","[{'offset': 27972, 'length': 8}]"
22,4 171.18,"[3.7972, 2.9355, 4.2535, 2.9355, 4.2535, 3.047, 3.7972, 3.0521]","[{'offset': 27981, 'length': 8}]"
23,3 309.05,"[4.6489, 2.9304, 5.1102, 2.9304, 5.1102, 3.0521, 4.654, 3.0571]","[{'offset': 27990, 'length': 8}]"
24,"If the vessel arrives or departs 30 minutes or more after the notified time, the following","[0.5729000000000001, 3.6199, 5.1761, 3.6199, 5.1761, 3.7517, 0.5729000000000001, 3.7517]","[{'offset': 27999, 'length': 90}]"
25,"charges apply per hour or part thereof, calculated from the notified time until service is","[0.5678000000000001, 3.7771, 5.1609, 3.7720000000000002, 5.1609, 3.9038, 0.5678000000000001, 3.919]","[{'offset': 28090, 'length': 90}]"
26,completed:,"[0.5729000000000001, 3.9342, 1.1559, 3.9241, 1.1559, 4.0559, 0.5779000000000001, 4.061]","[{'offset': 28181, 'length': 10}]"
27,Port,"[2.4182, 4.1826, 2.6464, 4.1776, 2.6464, 4.279, 2.4233000000000002, 4.2739]","[{'offset': 28192, 'length': 4}]"
28,Elizabeth,"[2.2966, 4.3094, 2.763, 4.3094, 2.763, 4.4108, 2.2966, 4.4108]","[{'offset': 28197, 'length': 9}]"
29,/ Ngqura,"[2.327, 4.4361, 2.763, 4.4361, 2.763, 4.5527, 2.327, 4.5477]","[{'offset': 28207, 'length': 8}]"
30,Cape Town,"[2.9353, 4.1776, 3.5082, 4.1776, 3.5082, 4.2942, 2.9353, 4.2891]","[{'offset': 28216, 'length': 9}]"
31,Saldanha,"[3.6958, 4.1776, 4.1724, 4.1776, 4.1724, 4.279, 3.6958, 4.279]","[{'offset': 28226, 'length': 8}]"
32,Other Ports,"[4.4461, 4.1776, 5.0393, 4.1776, 5.0393, 4.284, 4.4461, 4.279]","[{'offset': 28235, 'length': 11}]"
33,Per service,"[0.6337, 4.6643, 1.2066, 4.6643, 1.2066, 4.7809, 0.6337, 4.7758]","[{'offset': 28247, 'length': 11}]"
34,2 266.73,"[2.3574, 4.6643, 2.839, 4.6693999999999996, 2.839, 4.7809, 2.3574, 4.7758]","[{'offset': 28259, 'length': 8}]"
35,2 370.84,"[3.0621, 4.6643, 3.5082, 4.6643, 3.5082, 4.7758, 3.0621, 4.7758]","[{'offset': 28268, 'length': 8}]"
36,2 085.59,"[3.8175, 4.6643, 4.2636, 4.6643, 4.2636, 4.7809, 3.8175, 4.7809]","[{'offset': 28277, 'length': 8}]"
37,1 654.56,"[4.6793, 4.6643, 5.1305, 4.6643, 5.1305, 4.7758, 4.6793, 4.7809]","[{'offset': 28286, 'length': 8}]"
38,If the service terminates or,"[0.6388, 4.8316, 2.0177, 4.8316, 2.0177, 4.9634, 0.6388, 4.9634]","[{'offset': 28295, 'length': 28}]"
39,4 533.42,"[2.3878, 4.8367, 2.8441, 4.8367, 2.839, 4.9533000000000005, 2.3878, 4.9482]","[{'offset': 28324, 'length': 8}]"
40,4 741.69,"[3.057, 4.8417, 3.5032, 4.8417, 3.5032, 4.9482, 3.057, 4.9482]","[{'offset': 28333, 'length': 8}]"
41,4 171.18,"[3.8124000000000002, 4.8367, 4.2737, 4.8316, 4.2737, 4.9533000000000005, 3.8124000000000002, 4.9533000000000005]","[{'offset': 28342, 'length': 8}]"
42,3 309.05,"[4.6793, 4.8316, 5.1204, 4.8316, 5.1204, 4.9583, 4.6793, 4.9583]","[{'offset': 28351, 'length': 8}]"
43,commences outside ordinary,"[0.6388, 5.009, 2.1242, 5.009, 2.1242, 5.151, 0.6337, 5.1459]","[{'offset': 28360, 'length': 26}]"
44,"working hours, minimum","[0.6286, 5.1814, 1.9214, 5.1814, 1.9214, 5.3132, 0.6286, 5.3132]","[{'offset': 28387, 'length': 22}]"
45,If the request for a tug/vessel to remain on duty outside ordinary working hours is,"[0.5881000000000001, 5.4603, 4.7706, 5.4653, 4.7706, 5.6022, 0.5881000000000001, 5.6022]","[{'offset': 28410, 'length': 83}]"
46,"cancelled at any time after standby has commenced, the following fee per hour or part","[0.5881000000000001, 5.6123, 5.1812, 5.6123, 5.1812, 5.7543, 0.5881000000000001, 5.7543]","[{'offset': 28494, 'length': 85}]"
47,"thereof, will be maintained for the actual period that the tug/vessel remained on duty,","[0.5881000000000001, 5.7644, 5.1812, 5.7695, 5.1812, 5.9064, 0.5881000000000001, 5.9013]","[{'offset': 28580, 'length': 87}]"
48,subject to a minimum of 2 hours.,"[0.5881000000000001, 5.9216, 2.2611, 5.9216, 2.2611, 6.0534, 0.5881000000000001, 6.0636]","[{'offset': 28668, 'length': 32}]"
49,1 654.56,"[4.7097, 5.9216, 5.166, 5.9216, 5.166, 6.0433, 4.7097, 6.0433]","[{'offset': 28701, 'length': 8}]"
50,"At the Port of Saldanha when remooring without tug/pilots occurs, the following fee per","[0.583, 6.2258, 5.1914, 6.2309, 5.1914, 6.3728, 0.583, 6.3627]","[{'offset': 28710, 'length': 87}]"
51,service is applicable,"[0.5881000000000001, 6.388, 1.6071, 6.388, 1.6071, 6.5199, 0.5881000000000001, 6.5199]","[{'offset': 28798, 'length': 21}]"
52,4 739.14,"[4.7097, 6.388, 5.1559, 6.388, 5.1559, 6.5046, 4.7097, 6.4996]","[{'offset': 28820, 'length': 8}]"
53,Tariffs subject to VAT at 15%: Tariffs in South African Rand,"[6.6971, 0.5678000000000001, 9.6628, 0.5628000000000001, 9.6628, 0.6946, 6.6971, 0.6946]","[{'offset': 28829, 'length': 60}]"
54,3.10 HIRE OF MARINE EQUIPMENT/MARINE SERVICES,"[6.4486, 1.0697, 10.3371, 1.0697, 10.3371, 1.2269, 6.4486, 1.232]","[{'offset': 28890, 'length': 45}]"
55,"Each per day of 24 hours or part thereof, if available","[6.4233, 1.6224, 9.0697, 1.6224, 9.0697, 1.7591999999999999, 6.4233, 1.7591999999999999]","[{'offset': 28936, 'length': 54}]"
56,Passenger gangways ..,"[6.4182, 1.9367, 7.5082, 1.9418000000000002, 7.5082, 2.0736, 6.4182, 2.0685000000000002]","[{'offset': 28991, 'length': 21}]"
57,320.10,"[10.621, 1.9367, 10.9911, 1.9367, 10.986, 2.0533, 10.621, 2.0482]","[{'offset': 29013, 'length': 6}]"
58,Mooring ropes at the Port of Saldanha.,"[6.4233, 2.0837, 8.4005, 2.0837, 8.4005, 2.2155, 6.4233, 2.2206]","[{'offset': 29020, 'length': 38}]"
59,1 511.85,"[10.5247, 2.0888, 10.9911, 2.0888, 10.9911, 2.2054, 10.5247, 2.2054]","[{'offset': 29059, 'length': 8}]"
60,"Each per hour or part thereof, if available","[6.4233, 2.3879, 8.5221, 2.3879, 8.5221, 2.5248, 6.4233, 2.5248]","[{'offset': 29068, 'length': 43}]"
61,Punt hire per hour.,"[6.4132, 2.6921, 7.3713, 2.6972, 7.3713, 2.8239, 6.4132, 2.8188]","[{'offset': 29112, 'length': 19}]"
62,146.27,"[10.6058, 2.6972, 10.9708, 2.6972, 10.9708, 2.8138, 10.6058, 2.8087]","[{'offset': 29132, 'length': 6}]"
63,Forklifts at the Port of Mossel Bay per hour,"[6.4233, 3.0014, 8.6083, 3.0064, 8.6083, 3.1281, 6.4233, 3.123]","[{'offset': 29139, 'length': 44}]"
64,3 ton Forklift,"[6.4132, 3.3106, 7.0824, 3.3106, 7.0824, 3.4171, 6.4182, 3.4222]","[{'offset': 29184, 'length': 14}]"
65,534.39,"[10.6261, 3.3056, 10.9961, 3.3056, 10.9961, 3.4222, 10.6261, 3.4171]","[{'offset': 29199, 'length': 6}]"
66,4 ton Forklift,"[6.4233, 3.4678, 7.0824, 3.4678, 7.0824, 3.5692, 6.4233, 3.5743]","[{'offset': 29206, 'length': 14}]"
67,.595.25,"[10.6058, 3.4627, 10.9961, 3.4678, 10.9961, 3.5743, 10.6058, 3.5743]","[{'offset': 29221, 'length': 7}]"
68,Electric Power: Fees quoted on application,"[6.4284, 3.9139, 8.583, 3.9139, 8.583, 4.0559, 6.4284, 4.0508]","[{'offset': 29229, 'length': 42}]"
69,Compressed Air: Fees quoted on application,"[6.4132, 4.2181, 8.6742, 4.2181, 8.6742, 4.3601, 6.4132, 4.355]","[{'offset': 29272, 'length': 42}]"
70,Any other equipment: Fees quoted on application.,"[6.4132, 4.5222999999999995, 8.9835, 4.5222999999999995, 8.9835, 4.6643, 6.4132, 4.6643]","[{'offset': 29315, 'length': 48}]"
71,Divers Services (where available): Fees quoted on application,"[6.4182, 4.8214, 9.531, 4.8265, 9.531, 4.9685, 6.4182, 4.9634]","[{'offset': 29364, 'length': 61}]"
72,"Note: Any rope, mooring spring or strap damaged or destroyed by chafing or cutting shall","[6.4132, 5.1307, 11.0114, 5.1256, 11.0114, 5.2777, 6.4132, 5.2828]","[{'offset': 29426, 'length': 88}]"
73,be paid for by the owner of the vessel responsible. All other equipment damaged through,"[6.4132, 5.2828, 11.0215, 5.2828, 11.0215, 5.4298, 6.4132, 5.4298]","[{'offset': 29515, 'length': 87}]"
74,other than by normal wear and tear may be repaired/replaced at the hirer's expense.,"[6.4081, 5.4349, 11.0164, 5.4349, 11.0164, 5.587, 6.4081, 5.5819]","[{'offset': 29603, 'length': 83}]"
75,Fees quoted on application.,"[6.4182, 5.587, 7.8377, 5.587, 7.8377, 5.734, 6.4182, 5.734]","[{'offset': 29687, 'length': 27}]"
76,Tariff Book April 2024-March 2025,"[0.5932000000000001, 7.7975, 3.0925, 7.7924, 3.0925, 7.9496, 0.5932000000000001, 7.9597]","[{'offset': 29715, 'length': 33}]"
77,19,"[5.0241, 7.8025, 5.2015, 7.8025, 5.2015, 7.9394, 5.0241, 7.9343]","[{'offset': 29749, 'length': 2}]"
78,Tariff Book April 2024 - March 2025,"[6.4588, 7.7873, 8.9683, 7.7873, 8.9683, 7.9394, 6.4588, 7.9445]","[{'offset': 29752, 'length': 35}]"
79,20,"[10.8288, 7.7924, 11.0215, 7.7924, 11.0215, 7.9242, 10.8339, 7.9242]","[{'offset': 29788, 'length': 2}]"
0,Tariffs subject to VAT at 15%: Tariffs in South African Rand,"[0.8061, 0.5628000000000001, 3.7617000000000003, 0.5628000000000001, 3.7617000000000003, 0.6946, 0.8061, 0.6996]","[{'offset': 29791, 'length': 60}]"
1,SECTION 4,"[2.4689, 0.9886, 3.3257, 0.9886, 3.3257, 1.1458, 2.4689, 1.1458]","[{'offset': 29852, 'length': 9}]"
2,"PORT FEES ON VESSELS, MISCELLANEOUS FEES AND SERVICES","[0.5932000000000001, 1.3131, 3.7871, 1.3131, 3.7871, 1.4398, 0.5932000000000001, 1.4449]","[{'offset': 29862, 'length': 53}]"
3,4.1 PORT FEES ON VESSELS,"[0.6236, 1.5666, 2.5703, 1.5615, 2.5703, 1.7085, 0.6236, 1.7136]","[{'offset': 29916, 'length': 24}]"
4,The tonnage of vessels for port tariff purposes is the gross tonnage of a vessel as per the,"[0.5932000000000001, 1.8404, 5.1914, 1.8404, 5.1914, 1.9823, 0.5932000000000001, 1.9823]","[{'offset': 29941, 'length': 91}]"
5,tonnage certificate issued in terms of the Tonnage Convention 1969. (NOT converted to,"[0.5881000000000001, 1.9975, 5.1964, 1.9975, 5.1964, 2.1344, 0.5881000000000001, 2.1344]","[{'offset': 30033, 'length': 85}]"
6,cubic metres),"[0.5932000000000001, 2.1648, 1.2978, 2.1648, 1.2978, 2.2865, 0.5932000000000001, 2.2814]","[{'offset': 30119, 'length': 13}]"
7,Where the vessel's tonnage certificate is not available the highest tonnage as reflected in,"[0.5881000000000001, 2.3828, 5.1863, 2.3828, 5.1863, 2.5299, 0.5881000000000001, 2.5248]","[{'offset': 30133, 'length': 91}]"
8,Lloyds Register of Shipping is accepted.,"[0.5982000000000001, 2.5451, 2.5906000000000002, 2.54, 2.5906000000000002, 2.682, 0.5982000000000001, 2.6870000000000003]","[{'offset': 30225, 'length': 40}]"
9,4.1.1 PORT DUES,"[0.6286, 2.7377000000000002, 1.8352, 2.7377000000000002, 1.8352, 2.8898, 0.6286, 2.8848000000000003]","[{'offset': 30266, 'length': 15}]"
10,Payable by:,"[0.5932000000000001, 3.0318, 1.1812, 3.0318, 1.1812, 3.1687, 0.5932000000000001, 3.1636]","[{'offset': 30282, 'length': 11}]"
11,. Vessels entering the port from the time of passing the entrance inwards until the time of,"[0.5932000000000001, 3.2802, 5.2674, 3.2802, 5.2674, 3.4171, 0.5932000000000001, 3.4222]","[{'offset': 30294, 'length': 91}]"
12,passing the entrance outwards;,"[0.73, 3.4475, 2.3473, 3.4424, 2.3473, 3.5743, 0.73, 3.5793]","[{'offset': 30386, 'length': 30}]"
13,· Vessels taking in bunkers at the designated anchorage;,"[0.5881000000000001, 3.6554, 3.5285, 3.6604, 3.5285, 3.7923, 0.5881000000000001, 3.7923]","[{'offset': 30417, 'length': 56}]"
14,"· Vessels at offshore moorings or similar facilities, as follows:","[0.5932000000000001, 3.8785, 3.7516, 3.8785, 3.7516, 4.0153, 0.5932000000000001, 4.0153]","[{'offset': 30474, 'length': 65}]"
15,Basic fee per 100 tons or part thereof,"[0.5932000000000001, 4.0812, 2.5095, 4.0812, 2.5095, 4.2181, 0.5932000000000001, 4.2131]","[{'offset': 30540, 'length': 38}]"
16,192.73,"[4.872, 4.0914, 5.2268, 4.0914, 5.2268, 4.2029, 4.872, 4.1979]","[{'offset': 30579, 'length': 6}]"
17,plus,"[0.6033000000000001, 4.2536, 0.8111, 4.2486, 0.8162, 4.3652, 0.6033000000000001, 4.3652]","[{'offset': 30586, 'length': 4}]"
18,"per 100 tons or part thereof per 24 hour period, a part of a 24 hour","[0.5932000000000001, 4.3854, 4.0152, 4.3854, 4.0152, 4.5173, 0.5932000000000001, 4.5222999999999995]","[{'offset': 30591, 'length': 68}]"
19,period being applied pro rata.,"[0.5932000000000001, 4.5477, 2.109, 4.5477, 2.109, 4.6795, 0.5932000000000001, 4.6846]","[{'offset': 30660, 'length': 30}]"
20,57.79,"[4.9227, 4.5527, 5.2268, 4.5527, 5.2319, 4.6592, 4.9277, 4.6592]","[{'offset': 30691, 'length': 5}]"
21,Small vessels and pleasure vessels resorting under Section 4 when visiting a port other than,"[0.5932000000000001, 4.7758, 5.2674, 4.7758, 5.2674, 4.9076, 0.5932000000000001, 4.9076]","[{'offset': 30697, 'length': 92}]"
22,at their registered port will be subject to a minimum fee,"[0.5932000000000001, 4.933, 3.4829, 4.9279, 3.4829, 5.0597, 0.5932000000000001, 5.0699]","[{'offset': 30790, 'length': 57}]"
23,470.98,"[4.8973, 4.933, 5.2471, 4.933, 5.2471, 5.0496, 4.8973, 5.0496]","[{'offset': 30848, 'length': 6}]"
24,A reduction of 35% will be allowed in the following instances:,"[0.5932000000000001, 5.1611, 3.7211, 5.1611, 3.7211, 5.3031, 0.5932000000000001, 5.2929]","[{'offset': 30855, 'length': 62}]"
25,· Vessels not engaged in cargo working for the first 30 days only;,"[0.583, 5.4197, 3.9442, 5.4197, 3.9442, 5.5565999999999995, 0.583, 5.5565999999999995]","[{'offset': 30918, 'length': 66}]"
26,· Bona fide coasters;,"[0.5932000000000001, 5.5921, 1.7186, 5.5971, 1.7186, 5.7239, 0.5932000000000001, 5.7188]","[{'offset': 30985, 'length': 21}]"
27,· Passenger vessels;,"[0.5881000000000001, 5.7695, 1.6831, 5.7695, 1.6831, 5.9013, 0.5881000000000001, 5.9013]","[{'offset': 31007, 'length': 20}]"
28,". Small vessels resorting under Section 4, Clause 4.2 when visiting a port other than their","[0.5932000000000001, 5.9267, 5.2573, 5.9267, 5.2573, 6.0686, 0.5932000000000001, 6.0686]","[{'offset': 31028, 'length': 91}]"
29,registered port.,"[0.7402000000000001, 6.094, 1.5412, 6.094, 1.5463, 6.2258, 0.7402000000000001, 6.2309]","[{'offset': 31120, 'length': 16}]"
30,Vessels in port for longer than 30 days not engaged in cargo working or undergoing repairs,"[0.5881000000000001, 6.3221, 5.2522, 6.3221, 5.2522, 6.4692, 0.5881000000000001, 6.4641]","[{'offset': 31137, 'length': 90}]"
31,will be liable for a 20% surcharge on the incremental fee of port dues.,"[0.5881000000000001, 6.4742, 4.147, 6.4742, 4.147, 6.6111, 0.5881000000000001, 6.606]","[{'offset': 31228, 'length': 71}]"
32,A reduction of 60% will be allowed to vessels calling for the sole purpose of taking on bun-,"[0.5881000000000001, 6.7074, 5.2573, 6.7074, 5.2573, 6.8494, 0.5881000000000001, 6.8443000000000005]","[{'offset': 31300, 'length': 92}]"
33,"kers and/or stores and /or water or a combination of all three, provided the vessel's entire","[0.5881000000000001, 6.8646, 5.2674, 6.8595, 5.2674, 7.0015, 0.5881000000000001, 7.0015]","[{'offset': 31393, 'length': 92}]"
34,stay does not exceed 48 hours. This reduction will not be enjoyed in addition to the 35%,"[0.5932000000000001, 7.0218, 5.2674, 7.0167, 5.2674, 7.1587, 0.5982000000000001, 7.1637]","[{'offset': 31486, 'length': 88}]"
35,"reduction granted for vessels not engaged in cargo working for the first 30 days only, bona","[0.5932000000000001, 7.1739, 5.2573, 7.1739, 5.2573, 7.3158, 0.5932000000000001, 7.3158]","[{'offset': 31575, 'length': 91}]"
36,"fide coasters, passenger vessels and small vessels resorting under Section 4, Clause 4.2","[0.5881000000000001, 7.326, 4.9936, 7.326, 4.9936, 7.4629, 0.5881000000000001, 7.4629]","[{'offset': 31667, 'length': 88}]"
37,Tariffs subject to VAT at 15%: Tariffs in South African Rand,"[6.7021, 0.5628000000000001, 9.6679, 0.5628000000000001, 9.6679, 0.6946, 6.7021, 0.6946]","[{'offset': 31756, 'length': 60}]"
38,"A reduction of 10% will be allowed to certified double hulled liquid bulk tankers, liquid","[6.4030000000000005, 0.9886, 11.0266, 0.9937, 11.0266, 1.1357, 6.4030000000000005, 1.1306]","[{'offset': 31817, 'length': 89}]"
39,bulk tankers equipped with segregated ballast tanks and liquid bulk tankers in possession,"[6.4030000000000005, 1.1407, 11.0367, 1.1407, 11.0367, 1.2827, 6.4030000000000005, 1.2827]","[{'offset': 31907, 'length': 89}]"
40,"of a ""Green Award."" The reduction is applied for any one certification or a combination","[6.4030000000000005, 1.2979, 11.0367, 1.2979, 11.0367, 1.4398, 6.4030000000000005, 1.4398]","[{'offset': 31997, 'length': 87}]"
41,thereof with a maximum of 10%. Proof of aforementioned needs to be submitted to the,"[6.3979, 1.45, 11.0367, 1.45, 11.0367, 1.5869, 6.3979, 1.5869]","[{'offset': 32085, 'length': 83}]"
42,Authority prior to Vessel sailing.,"[6.4030000000000005, 1.6071, 8.0202, 1.6071, 8.0202, 1.7490999999999999, 6.4030000000000005, 1.7490999999999999]","[{'offset': 32169, 'length': 34}]"
43,A vessel remaining in port for less than 12 hours will be allowed a reduction of 15% in,"[6.3979, 1.8353000000000002, 11.0367, 1.8302, 11.0367, 1.9722, 6.3979, 1.9772]","[{'offset': 32204, 'length': 87}]"
44,addition to other reductions that may be enjoyed.,"[6.3929, 1.9925000000000002, 8.9531, 1.9925000000000002, 8.9531, 2.1395, 6.3929, 2.1344]","[{'offset': 32292, 'length': 49}]"
45,Exemptions,"[6.4081, 2.2307, 7.0215, 2.2307, 7.0215, 2.3676, 6.4081, 2.3626]","[{'offset': 32342, 'length': 10}]"
46,· Vessels belonging to the SAPS and SANDF;,"[6.4081, 2.398, 8.7249, 2.398, 8.7249, 2.54, 6.4081, 2.54]","[{'offset': 32353, 'length': 42}]"
47,· Vessels belonging to SAMSA;,"[6.4030000000000005, 2.5755, 8.0253, 2.5755, 8.0253, 2.7124, 6.4030000000000005, 2.7073]","[{'offset': 32396, 'length': 29}]"
48,· SA Medical & Research vessels;,"[6.4030000000000005, 2.7428, 8.147, 2.7428, 8.147, 2.8848000000000003, 6.3979, 2.8746]","[{'offset': 32426, 'length': 32}]"
49,"· The time a vessel occupied a drydock, floating dock, syncrolift or slipway;","[6.4030000000000005, 2.9101, 10.261, 2.9101, 10.261, 3.0622, 6.4030000000000005, 3.0521]","[{'offset': 32459, 'length': 77}]"
50,"· Vessels resorting under Section 4, Clause 4.2 but only at their registered port;","[6.3979, 3.0825, 10.4892, 3.0876, 10.4892, 3.2295, 6.3979, 3.2295]","[{'offset': 32537, 'length': 82}]"
51,". Fishing vessels licensed by the Department of Environmental Affairs and Tourism, but","[6.3979, 3.2549, 11.0266, 3.2498, 11.0266, 3.3968, 6.3979, 3.4019]","[{'offset': 32620, 'length': 86}]"
52,"only within the fishing port declared under the Sea Fisheries Act, 1973 (Act No. 58 of","[6.55, 3.412, 11.0266, 3.407, 11.0266, 3.5489, 6.55, 3.5540000000000003]","[{'offset': 32707, 'length': 86}]"
53,1973) at Saldanha.,"[6.545, 3.5641, 7.493, 3.5641, 7.493, 3.6959, 6.545, 3.6959]","[{'offset': 32794, 'length': 18}]"
54,". Vessels calling for the second time, returning from anchorage at the order of the port.","[6.3979, 3.7314, 10.915, 3.7314, 10.915, 3.8683, 6.3979, 3.8683]","[{'offset': 32813, 'length': 89}]"
55,In the event of a coastal vessel entering from a foreign port full port dues would be paya-,"[6.4081, 3.9697, 11.0266, 3.9748, 11.0266, 4.1167, 6.4081, 4.1066]","[{'offset': 32903, 'length': 91}]"
56,ble at the first South African port of call.,"[6.4081, 4.1218, 8.4512, 4.1218, 8.4512, 4.2536, 6.4081, 4.2536]","[{'offset': 32995, 'length': 44}]"
57,4.1.2 BERTH DUES,"[6.4385, 4.4513, 7.7465, 4.4513, 7.7465, 4.6237, 6.4385, 4.6237]","[{'offset': 33040, 'length': 16}]"
58,"Payable by any vessel occupying a repair quay or any other berth and not handling cargo,","[6.4182, 4.7555, 11.0367, 4.7606, 11.0367, 4.9026, 6.4182, 4.8975]","[{'offset': 33057, 'length': 88}]"
59,"in addition to port dues, for each 24 hour period or part thereof as follows:","[6.4132, 4.9127, 10.2306, 4.9127, 10.2306, 5.0496, 6.4132, 5.0496]","[{'offset': 33146, 'length': 77}]"
60,Per 100 tons or part thereof,"[6.4233, 5.151, 7.8529, 5.151, 7.8529, 5.2828, 6.4233, 5.2828]","[{'offset': 33224, 'length': 28}]"
61,Up to 17 700 tons.,"[6.4182, 5.3589, 7.346, 5.3589, 7.346, 5.4856, 6.4182, 5.4907]","[{'offset': 33253, 'length': 18}]"
